zipCode,CountyName,month,zori
93940,Monterey County,2018-08,1829.4901677401904
95032,Santa Clara County,2018-08,3356.494644215208
90291,Los Angeles County,2018-08,2979.5121025500703
93906,Monterey County,2018-09,1601.1851068549977
95037,Santa Clara County,2018-09,2855.844923125387
95050,Santa Clara County,2018-09,2796.8937659820276
93940,Monterey County,2018-09,1828.6819244652736
95032,Santa Clara County,2018-09,3351.3836755495927
90291,Los Angeles County,2018-09,2925.6888050487764
93906,Monterey County,2018-10,1606.2016709707914
95037,Santa Clara County,2018-10,2845.8856833034183
95050,Santa Clara County,2018-10,2799.773959702235
93940,Monterey County,2018-10,1836.7612622937656
95032,Santa Clara County,2018-10,3318.509180165784
90291,Los Angeles County,2018-10,2983.3172275795773
93906,Monterey County,2018-11,1571.753633186024
95037,Santa Clara County,2018-11,2858.5447995799727
95050,Santa Clara County,2018-11,2785.1725313191428
93940,Monterey County,2018-11,1848.8266806691445
95032,Santa Clara County,2018-11,3343.04001686451
90291,Los Angeles County,2018-11,2965.5540666437764
93906,Monterey County,2018-12,1531.1196472992124
95037,Santa Clara County,2018-12,2844.783115366313
95050,Santa Clara County,2018-12,2731.900557864411
93940,Monterey County,2018-12,1837.2749599376928
95032,Santa Clara County,2018-12,3364.2113769806283
90291,Los Angeles County,2018-12,2986.3188735276617
93906,Monterey County,2019-01,1509.7972136357455
95037,Santa Clara County,2019-01,2873.134786010985
95060,Santa Cruz County,2019-01,2485.3324237606616
95050,Santa Clara County,2019-01,2721.9532775455327
93940,Monterey County,2019-01,1831.6600032321332
95032,Santa Clara County,2019-01,3397.2906684615637
90291,Los Angeles County,2019-01,2977.6314741345514
93906,Monterey County,2019-02,1522.5336569422548
95037,Santa Clara County,2019-02,2871.833371827001
95060,Santa Cruz County,2019-02,2470.8222055041338
95050,Santa Clara County,2019-02,2712.819279697672
93940,Monterey County,2019-02,1836.8978433915531
95032,Santa Clara County,2019-02,3456.633708696289
90291,Los Angeles County,2019-02,3016.4474842871864
93950,Monterey County,2019-02,2051.6550303188537
93906,Monterey County,2019-03,1548.7667081397228
95037,Santa Clara County,2019-03,2869.497828627913
95060,Santa Cruz County,2019-03,2496.9719881689452
95050,Santa Clara County,2019-03,2762.902008746143
93940,Monterey County,2019-03,1845.1459139508877
95032,Santa Clara County,2019-03,3484.4226793324556
90291,Los Angeles County,2019-03,3015.709911466414
93950,Monterey County,2019-03,2088.4258080112554
93906,Monterey County,2019-04,1572.9000219830114
95037,Santa Clara County,2019-04,2861.6928107433314
95060,Santa Cruz County,2019-04,2461.447067840747
95050,Santa Clara County,2019-04,2804.802940257703
93940,Monterey County,2019-04,1860.897443785431
95032,Santa Clara County,2019-04,3479.3485095634155
90291,Los Angeles County,2019-04,3021.4061271894793
93950,Monterey County,2019-04,2080.830007245389
93906,Monterey County,2019-05,1613.9134319631587
95037,Santa Clara County,2019-05,2846.335019430346
95060,Santa Cruz County,2019-05,2473.3685973496367
95050,Santa Clara County,2019-05,2842.138015361644
