GEOID,tract_median_hh_income,tract_median_gross_rent,tract_pct_renter,tract_pop_density_sqmi,tract_population
06087100100,155729.0,3266.0,0.142668428005284,1887.1206021693947,2389.0
06087100200,125481.0,2390.0,0.45765765765765765,7830.757839428713,7262.0
06087100300,144146.0,3065.0,0.29955947136563876,1800.1550324526,4035.0
06087100400,52222.0,1586.0,0.9073033707865169,6034.920404056012,9802.0
06087100500,117253.0,2810.0,0.4021043000914913,2442.7721553906135,5396.0
06087100600,126065.0,2810.0,0.41982272360999195,7378.595344057713,2991.0
06087100700,48365.0,1606.0,0.5955678670360111,5530.84253104824,1883.0
06087100801,92847.0,2306.0,0.7938682322243966,9120.795814643081,3988.0
06087100802,158936.0,2475.0,0.6273006134969326,10171.156563895263,2965.0
06087100900,121250.0,2577.0,0.5875621890547263,4896.986500643488,3736.0
06087101001,93295.0,2594.0,0.6192223037417461,10086.825663650292,3777.0
06087101002,75233.0,1903.0,0.8072230356271352,9306.015300810786,4366.0
06087101100,125880.0,3110.0,0.32986425339366515,7129.464289068111,5274.0
06087101200,105375.0,3227.0,0.45215311004784686,1849.8700198098009,3078.0
06087110101,109493.0,3078.0,0.3602693602693603,4963.464628065087,2602.0
06087110102,75521.0,1815.0,0.532437171244886,10287.915661516177,4333.0
06087110201,84931.0,2406.0,0.5621301775147929,13492.176510254692,3176.0
06087110202,61496.0,1791.0,0.5175494575622208,4371.30189064583,3969.0
06087110301,47391.0,1448.0,0.8662092624356775,14287.934450696712,4096.0
06087110302,53438.0,1837.0,0.7189973614775725,18787.630193476194,3209.0
06087110401,71078.0,1776.0,0.8831460674157303,2224.903469620817,3385.0
06087110402,93768.0,2631.0,0.44871794871794873,6421.218239373033,5066.0
06087110503,75800.0,2207.0,0.5648351648351648,8613.073189512235,3189.0
06087110504,94263.0,2033.0,0.38189533239038187,14734.747931392385,2927.0
06087110505,92250.0,2084.0,0.5939572586588062,12458.075081664121,5016.0
06087110506,100388.0,1998.0,0.3830034924330617,10594.25252775627,3265.0
06087110601,66136.0,1566.0,0.5546772068511199,7023.018693483716,4692.0
06087110602,72117.0,1303.0,0.3363821138211382,11955.18904622769,3237.0
06087110700,92619.0,1705.0,0.39518072289156625,1734.5158872696559,2895.0
06087120200,133750.0,1990.0,0.3198581560283688,37.64777876567539,4237.0
06087120301,104205.0,2012.0,0.3056918547595682,257.1007849110208,4619.0
