month,zori_region,deflator_to_ref
2015-01,2209.53268817931,1.5628251113265874
2015-02,2227.6708966072224,1.5501002300845734
2015-03,2295.5585742532103,1.5042583570349226
2015-04,2297.0751458156933,1.5032652178025985
2015-05,2328.198934038542,1.483169294040403
2015-06,2328.1749699935153,1.4831845603911726
2015-07,2416.149020801671,1.4291805429442554
2015-08,2454.695998206551,1.4067376049443499
2015-09,2476.9302601877657,1.394109969459454
2015-10,2452.19231206722,1.408173882770458
2015-11,2493.4524718580674,1.3848722638015145
2015-12,2500.1698806966697,1.381151415367566
2016-01,2501.8211383033736,1.3802398247083782
2016-02,2547.129688761142,1.355688006236961
2016-03,2607.277656009709,1.324413286565098
2016-04,2120.9211689077683,1.6281195265554578
2016-05,2131.742980947179,1.6198543634229636
2016-06,2135.4405611729885,1.617049536366764
2016-07,2639.5172005695545,1.30823666109789
2016-08,2611.89690179658,1.322071007859597
2016-09,2569.8740475884856,1.3436896538271557
2016-10,2552.8141725938303,1.3526692253807762
2016-11,2489.3281011618355,1.3871667490403954
2016-12,2536.899566161266,1.3611548582542725
2017-01,2532.1136581985397,1.363727555515918
2017-02,2594.460374556027,1.330956218583401
2017-03,2573.3262442180603,1.3418870526588977
2017-04,2573.2130482345124,1.34194608244846
2017-05,2559.001529071001,1.3493986346452687
2017-06,2643.7270360177827,1.3061534425978223
2017-07,2694.2579771965266,1.2816564703936233
2017-08,2715.8764195868675,1.2714544537003796
2017-09,2768.9594980023294,1.2470796961366961
2017-10,2755.8408037648574,1.2530161991455153
2017-11,2754.9580291466737,1.2534177046802917
2017-12,2730.6881533567557,1.2645578606765302
2018-01,2725.2854837699024,1.2670647497108645
2018-02,2729.4835826430763,1.2651159330439226
2018-03,2760.2535888993607,1.2510130168005607
2018-04,2769.831901859733,1.2466869079907192
2018-05,2699.01398587462,1.2793980273742733
2018-06,2706.637058794141,1.2757946833558809
2018-07,2740.7395687066696,1.2599202086950045
2018-08,2819.131250198203,1.224885563288615
2018-09,2826.3693445537074,1.2217487343038038
2018-10,2822.8298215028267,1.2232806749735925
2018-11,2821.8586654495575,1.2237016728240142
2018-12,2788.341836615362,1.2384109882219954
